CustomerID,Recency,Frequency,MonetaryValue,Recency_score,Frequency_score,Monetary_score,rfm_segment,Cluster
12346.0,326,2,0.0,1,1,1,Lost Customer,1
12347.0,2,182,4310.0,4,4,4,Champion,0
12348.0,75,31,1797.24,2,2,4,Top Customer Needed Attention,8
12349.0,19,73,1757.55,3,3,4,Top Loyal Customer,0
12350.0,310,17,334.4,1,1,2,Lost Customer,1
12352.0,36,95,1545.41,3,3,3,Top Loyal Customer,0
12353.0,204,4,89.0,1,1,1,Lost Customer,6
12354.0,232,58,1079.4,1,3,3,Top Lost Customer,6
12355.0,214,13,459.4,1,1,2,Lost Customer,6
12356.0,23,59,2811.43,3,3,4,Top Loyal Customer,0
12357.0,33,131,6207.67,3,4,4,Champion,0
12358.0,2,19,1168.06,4,2,3,Top Recent Customer,0
12359.0,8,251,6182.9800000000005,4,4,4,Champion,4
12360.0,52,129,2662.06,2,4,4,Champion,0
12361.0,287,10,189.9,1,1,1,Lost Customer,1
12362.0,3,274,5154.58,4,4,4,Champion,4
12363.0,110,23,552.0,2,2,2,Customer Needed Attention,8
12364.0,8,85,1313.1,4,3,3,Top Recent Customer,0
12365.0,291,23,320.69,1,2,2,Lost Customer,1
12367.0,4,11,168.9,4,1,1,Recent Customer,0
12370.0,51,166,3541.94,2,4,4,Champion,0
12371.0,45,63,1887.96,3,3,4,Top Loyal Customer,0
12372.0,72,52,1298.04,2,3,3,Top Customer Needed Attention,8
12373.0,311,14,364.6,1,1,2,Lost Customer,1
12374.0,25,33,742.9300000000001,3,2,3,Top Loyal Customer,0
12375.0,3,18,455.42,4,2,2,Recent Customer,0
12377.0,315,77,1628.12,1,3,4,Top Lost Customer,1
12378.0,130,219,4008.62,2,4,4,Champion,8
12379.0,82,41,850.29,2,2,3,Top Customer Needed Attention,8
12380.0,22,105,2720.56,3,4,4,Champion,0
12381.0,5,91,1803.96,4,3,4,Top Recent Customer,0
12383.0,185,100,1839.31,1,4,4,Top Lost Customer,6
12384.0,29,30,566.16,3,2,2,Loyal Customer,0
12386.0,338,10,401.9,1,1,2,Lost Customer,1
12388.0,16,100,2780.66,4,4,4,Champion,0
12390.0,80,32,549.84,2,2,2,Customer Needed Attention,8
12391.0,22,93,439.66,3,3,2,Loyal Customer,0
12393.0,72,64,1582.6000000000001,2,3,3,Top Customer Needed Attention,8
12394.0,64,27,1272.48,2,2,3,Top Customer Needed Attention,8
12395.0,16,159,2998.28,4,4,4,Champion,0
12397.0,36,126,2409.9,3,4,4,Champion,0
12398.0,46,85,1635.6599999999999,3,3,4,Top Loyal Customer,0
12399.0,119,59,1108.65,2,3,3,Top Customer Needed Attention,8
12401.0,303,5,84.3,1,1,1,Lost Customer,1
12402.0,323,11,225.6,1,1,1,Lost Customer,1
12403.0,50,6,409.7,3,1,2,Loyal Customer,8
12405.0,149,54,1710.39,1,3,4,Top Lost Customer,6
12406.0,22,108,3280.75,3,4,4,Champion,0
12407.0,50,77,1708.1200000000001,3,3,4,Top Loyal Customer,0
12408.0,33,113,2842.57,3,4,4,Champion,0
12409.0,79,114,11056.93,2,4,4,Champion,8
12410.0,301,28,681.0799999999999,1,2,3,Top Lost Customer,1
12412.0,75,61,1226.88,2,3,3,Top Customer Needed Attention,8
12413.0,67,40,694.15,2,2,3,Top Customer Needed Attention,8
12414.0,217,18,562.41,1,2,2,Lost Customer,6
12415.0,24,778,123725.45,3,4,4,Champion,5
12417.0,3,198,3578.8,4,4,4,Champion,0
12418.0,113,34,668.58,2,2,3,Top Customer Needed Attention,8
12420.0,64,29,600.39,2,2,2,Customer Needed Attention,8
12421.0,16,46,806.27,4,3,3,Top Recent Customer,0
12422.0,96,39,803.5600000000001,2,2,3,Top Customer Needed Attention,8
12423.0,1,126,1849.11,4,4,4,Champion,0
12424.0,163,30,1760.96,1,2,4,Top Lost Customer,6
12425.0,78,36,777.2,2,2,3,Top Customer Needed Attention,8
12426.0,195,30,582.73,1,2,2,Lost Customer,6
12427.0,12,35,708.37,4,2,3,Top Recent Customer,0
12428.0,26,300,7877.2,3,4,4,Champion,4
12429.0,9,97,3750.4,4,3,4,Top Recent Customer,0
12430.0,43,11,256.4,3,1,1,Loyal Customer,8
12431.0,36,239,6348.89,3,4,4,Champion,4
12432.0,43,108,5059.32,3,4,4,Champion,0
12433.0,1,420,13375.87,4,4,4,Champion,4
12434.0,85,54,765.19,2,3,3,Top Customer Needed Attention,8
12435.0,80,36,7829.89,2,2,4,Top Customer Needed Attention,8
12436.0,100,16,509.01,2,1,2,Customer Needed Attention,8
