CustomerID,Recency,Frequency,MonetaryValue,Recency_score,Frequency_score,Monetary_score,rfm_segment,Cluster
12346.0,134,34,704.1,3,2,2,Loyal Customer,7
12347.0,55,124,2434.96,3,4,4,Champion,7
12348.0,57,48,1684.92,3,3,3,Top Loyal Customer,7
12349.0,216,102,2295.02,2,3,4,Top Customer Needed Attention,1
12350.0,119,17,331.34000000000003,3,1,2,Loyal Customer,7
12351.0,184,21,300.93,2,2,1,Customer Needed Attention,1
12352.0,71,54,1096.13,3,3,3,Top Loyal Customer,7
12353.0,13,24,406.76,4,2,2,Recent Customer,7
12354.0,41,58,1079.4,4,3,3,Top Recent Customer,7
12355.0,23,35,947.61,4,2,3,Top Recent Customer,7
12356.0,54,140,6313.38,3,4,4,Champion,7
12357.0,197,165,11266.93,2,4,4,Champion,1
12358.0,184,58,2703.71,2,3,4,Top Customer Needed Attention,1
12359.0,114,213,4355.39,3,4,4,Champion,0
12360.0,9,133,2640.75,4,4,4,Champion,7
12361.0,96,29,511.25,3,2,2,Loyal Customer,7
12362.0,34,57,1011.28,4,3,3,Top Recent Customer,7
12363.0,51,16,299.1,3,1,1,Loyal Customer,7
12365.0,100,22,357.63,3,2,2,Loyal Customer,7
12366.0,442,3,500.24,1,1,2,Lost Customer,4
12368.0,437,18,917.6999999999999,1,1,3,Top Lost Customer,4
12369.0,222,93,1769.73,2,3,3,Top Customer Needed Attention,1
12370.0,83,173,3549.74,3,4,4,Champion,7
12371.0,218,104,2151.88,2,3,4,Top Customer Needed Attention,1
12372.0,21,39,914.9200000000001,4,2,3,Top Recent Customer,7
12373.0,120,51,1112.35,3,3,3,Top Loyal Customer,7
12374.0,230,50,2230.99,2,3,4,Top Customer Needed Attention,1
12376.0,198,13,493.96999999999997,2,1,2,Customer Needed Attention,1
12377.0,124,152,3414.08,3,4,4,Champion,7
12378.0,371,82,1401.68,1,3,3,Top Lost Customer,4
12379.0,231,41,767.98,2,2,3,Top Customer Needed Attention,1
12380.0,274,173,5208.66,1,4,4,Top Lost Customer,1
12383.0,47,94,1751.11,3,3,3,Top Loyal Customer,7
12385.0,188,65,1938.4,2,3,4,Top Customer Needed Attention,1
12386.0,146,10,401.9,3,1,2,Loyal Customer,1
12387.0,224,9,143.94,2,1,1,Customer Needed Attention,1
12388.0,84,81,1886.7,3,3,3,Top Loyal Customer,7
12389.0,211,49,1433.33,2,3,3,Top Customer Needed Attention,1
12391.0,273,174,2199.16,1,4,4,Top Lost Customer,1
12392.0,400,7,234.75000000000003,1,1,1,Lost Customer,4
12393.0,54,82,1877.95,3,3,3,Top Loyal Customer,7
12394.0,26,21,381.08,4,2,2,Recent Customer,7
12395.0,20,165,3272.26,4,4,4,Champion,7
12396.0,483,65,931.43,1,3,3,Top Lost Customer,4
12399.0,22,93,1622.6000000000001,4,3,3,Top Recent Customer,7
12400.0,223,11,205.25,2,1,1,Customer Needed Attention,1
12401.0,112,5,84.3,3,1,1,Loyal Customer,7
12402.0,132,70,1256.9,3,3,3,Top Loyal Customer,7
12403.0,330,4,591.6600000000001,1,1,2,Lost Customer,4
12404.0,491,1,36.94,1,1,1,Lost Customer,4
12406.0,208,61,2975.06,2,3,4,Top Customer Needed Attention,1
12407.0,44,27,495.96,4,2,2,Recent Customer,7
12408.0,69,90,2289.81,3,3,4,Top Loyal Customer,7
12409.0,229,155,12346.619999999999,2,4,4,Champion,1
12410.0,117,40,995.35,3,2,3,Top Loyal Customer,7
12411.0,218,22,346.9,2,2,2,Customer Needed Attention,1
12412.0,211,66,1370.05,2,3,3,Top Customer Needed Attention,1
12413.0,45,41,805.25,3,2,3,Top Loyal Customer,7
12414.0,26,28,754.05,4,2,3,Top Recent Customer,7
