CustomerID,Recency,Frequency,MonetaryValue,Recency_score,Frequency_score,Monetary_score,rfm_segment,Cluster
1,1,39,80955.1,1,1,1,Lost Customer,0
2,1,224,1477979.1,1,4,4,Top Lost Customer,6
6,1,61,170753.9,1,2,2,Lost Customer,4
8,1,10,105479.0,1,1,1,Lost Customer,0
9,1,179,312572.7,1,4,2,Lost Customer,5
11,1,7,10823.8,1,1,1,Lost Customer,0
15,1,147,992615.4,1,3,3,Top Lost Customer,1
18,1,124,1429385.1,1,3,4,Top Lost Customer,1
19,1,54,320047.7,1,2,2,Lost Customer,4
22,1,106,751792.2,1,2,3,Top Lost Customer,4
23,1,164,1452340.5,1,3,4,Top Lost Customer,1
26,1,156,1550717.7,1,3,4,Top Lost Customer,1
27,1,142,515134.8,1,3,3,Top Lost Customer,5
29,1,81,488757.9,1,2,3,Top Lost Customer,4
30,1,72,1175726.0,1,2,4,Top Lost Customer,1
31,1,157,2594901.4,1,3,4,Top Lost Customer,3
32,1,13,114592.9,1,1,1,Lost Customer,0
33,1,147,1393195.4,1,3,4,Top Lost Customer,1
34,1,165,1806155.5,1,3,4,Top Lost Customer,3
35,1,165,303555.4,1,3,2,Lost Customer,5
36,1,171,1265407.1,1,4,4,Top Lost Customer,1
39,1,162,334883.7,1,3,2,Lost Customer,5
40,1,160,398955.5,1,3,3,Top Lost Customer,5
43,1,101,937686.3,1,2,3,Top Lost Customer,1
44,1,143,250364.5,1,3,2,Lost Customer,5
47,1,244,2206444.4,1,4,4,Top Lost Customer,3
50,1,123,682177.0,1,3,3,Top Lost Customer,4
53,1,25,47694.3,1,1,1,Lost Customer,0
54,1,27,39027.7,1,1,1,Lost Customer,0
56,1,92,590714.9,1,2,3,Top Lost Customer,4
57,1,33,294961.1,1,1,2,Lost Customer,0
59,1,132,636770.1,1,3,3,Top Lost Customer,5
61,1,122,170457.8,1,3,2,Lost Customer,4
62,1,164,317388.7,1,3,2,Lost Customer,5
66,1,122,2414683.2,1,3,4,Top Lost Customer,3
67,1,92,1244008.4,1,2,4,Top Lost Customer,1
68,1,83,871561.0,1,2,3,Top Lost Customer,4
70,1,48,190898.1,1,2,2,Lost Customer,0
71,1,171,1003946.0,1,4,3,Top Lost Customer,1
73,1,145,1071503.4,1,3,4,Top Lost Customer,1
75,1,13,90087.9,1,1,1,Lost Customer,0
78,1,172,1117261.4,1,4,4,Top Lost Customer,1
80,18,4,11034.0,2,1,1,Customer Needed Attention,2
82,1,99,1079082.4,1,2,4,Top Lost Customer,1
83,1,204,668762.4,1,4,3,Top Lost Customer,5
84,7,1,1100.0,1,1,1,Lost Customer,0
86,1,188,206110.5,1,4,2,Lost Customer,5
90,1,135,900501.6,1,3,3,Top Lost Customer,1
