Recency,Frequency,MonetaryValue,rfm_segment
326,2,0.0,Lost Customer
2,182,4310.0,Champion
75,31,1797.24,Top Customer Needed Attention
19,73,1757.55,Top Loyal Customer
310,17,334.4,Lost Customer
36,95,1545.41,Top Loyal Customer
204,4,89.0,Lost Customer
232,58,1079.4,Top Lost Customer
214,13,459.4,Lost Customer
23,59,2811.43,Top Loyal Customer
33,131,6207.67,Champion
2,19,1168.06,Top Recent Customer
8,251,6182.9800000000005,Champion
52,129,2662.06,Champion
287,10,189.9,Lost Customer
3,274,5154.58,Champion
110,23,552.0,Customer Needed Attention
8,85,1313.1,Top Recent Customer
291,23,320.69,Lost Customer
4,11,168.9,Recent Customer
51,166,3541.94,Champion
45,63,1887.96,Top Loyal Customer
72,52,1298.04,Top Customer Needed Attention
311,14,364.6,Lost Customer
25,33,742.9300000000001,Top Loyal Customer
3,18,455.42,Recent Customer
315,77,1628.12,Top Lost Customer
130,219,4008.62,Champion
82,41,850.29,Top Customer Needed Attention
22,105,2720.56,Champion
5,91,1803.96,Top Recent Customer
185,100,1839.31,Top Lost Customer
29,30,566.16,Loyal Customer
338,10,401.9,Lost Customer
16,100,2780.66,Champion
80,32,549.84,Customer Needed Attention
22,93,439.66,Loyal Customer
72,64,1582.6000000000001,Top Customer Needed Attention
64,27,1272.48,Top Customer Needed Attention
16,159,2998.28,Champion
36,126,2409.9,Champion
46,85,1635.6599999999999,Top Loyal Customer
119,59,1108.65,Top Customer Needed Attention
303,5,84.3,Lost Customer
323,11,225.6,Lost Customer
50,6,409.7,Loyal Customer
149,54,1710.39,Top Lost Customer
22,108,3280.75,Champion
50,77,1708.1200000000001,Top Loyal Customer
33,113,2842.57,Champion
79,114,11056.93,Champion
301,28,681.0799999999999,Top Lost Customer
75,61,1226.88,Top Customer Needed Attention
67,40,694.15,Top Customer Needed Attention
217,18,562.41,Lost Customer
24,778,123725.45,Champion
3,198,3578.8,Champion
113,34,668.58,Top Customer Needed Attention
64,29,600.39,Customer Needed Attention
16,46,806.27,Top Recent Customer
96,39,803.5600000000001,Top Customer Needed Attention
1,126,1849.11,Champion
163,30,1760.96,Top Lost Customer
78,36,777.2,Top Customer Needed Attention
195,30,582.73,Lost Customer
12,35,708.37,Top Recent Customer
26,300,7877.2,Champion
9,97,3750.4,Top Recent Customer
